model,perturbation,level,mean_nme,median_nme,n
HOG+Ridge,noise,0,0.056436279257828605,0.05032359980941362,390
Cascaded,noise,0,0.05101478711664645,0.044228874084689444,390
CNN-noaug,noise,0,0.07581456896520096,0.06877119690367811,390
CNN-aug,noise,0,0.08322458465907903,0.078108058523661,390
HOG+Ridge,noise,5,0.058938163578245266,0.05209260396572627,390
Cascaded,noise,5,0.054780315312187064,0.047754852801611895,390
CNN-noaug,noise,5,0.080075515084766,0.07222289515376298,390
CNN-aug,noise,5,0.10453941958205434,0.09988464224171066,390
HOG+Ridge,noise,10,0.06659997470503393,0.058471837152421505,390
Cascaded,noise,10,0.06479793153710768,0.05519139080574276,390
CNN-noaug,noise,10,0.09876044955006674,0.09184286052279095,390
CNN-aug,noise,10,0.1388759897324389,0.13391885065944525,390
HOG+Ridge,noise,20,0.08520880469309595,0.07370414319804389,390
Cascaded,noise,20,0.08644115869263412,0.074999659470735,390
CNN-noaug,noise,20,0.1138490436793312,0.10360790883494063,390
CNN-aug,noise,20,0.14390803872973218,0.13699542583737973,390
HOG+Ridge,noise,40,0.10663305413480409,0.09604747794388349,390
Cascaded,noise,40,0.11325623193132654,0.1020672185234418,390
CNN-noaug,noise,40,0.12579676601862058,0.1160752100502878,390
CNN-aug,noise,40,0.14635923680216553,0.13450106299731335,390
HOG+Ridge,rotation,0,0.056436279257828605,0.05032359980941362,390
Cascaded,rotation,0,0.05101478711664645,0.044228874084689444,390
CNN-noaug,rotation,0,0.07581456896520096,0.06877119690367811,390
CNN-aug,rotation,0,0.08322458465907903,0.078108058523661,390
HOG+Ridge,rotation,5,0.06021423136930483,0.05227229347433247,390
Cascaded,rotation,5,0.054575774064761835,0.04793375832915564,390
CNN-noaug,rotation,5,0.07883944024033246,0.07049901451871063,390
CNN-aug,rotation,5,0.08380736024655255,0.07916590548160087,390
HOG+Ridge,rotation,10,0.06647038383207789,0.0558680912698437,390
Cascaded,rotation,10,0.05851990136477747,0.0484826491018062,390
CNN-noaug,rotation,10,0.0846310337559628,0.07403875114907249,390
CNN-aug,rotation,10,0.08539722954539497,0.07754862049210856,390
HOG+Ridge,rotation,20,0.09505382710337958,0.07306241286603939,390
Cascaded,rotation,20,0.08228388769327634,0.061998347017185346,390
CNN-noaug,rotation,20,0.11562950543567872,0.095213056078933,390
CNN-aug,rotation,20,0.10083875469189987,0.08627474802318316,390
HOG+Ridge,rotation,40,0.2538905162694048,0.2362243176719694,390
Cascaded,rotation,40,0.24296127613413734,0.22319688098461238,390
CNN-noaug,rotation,40,0.27890111830106007,0.26895689486769014,390
CNN-aug,rotation,40,0.23011018306900471,0.19909439478925242,390
HOG+Ridge,brightness,0.5,0.05643627926301575,0.050323596346463856,390
Cascaded,brightness,0.5,0.05101478660083682,0.04422887731611283,390
CNN-noaug,brightness,0.5,0.08018492301384177,0.07149610811847429,390
CNN-aug,brightness,0.5,0.08657594369965704,0.08025737379779421,390
HOG+Ridge,brightness,0.75,0.056436279980737115,0.0503236106933305,390
Cascaded,brightness,0.75,0.05101478697660542,0.04422883997064264,390
CNN-noaug,brightness,0.75,0.07611808241897927,0.06815346583130051,390
CNN-aug,brightness,0.75,0.08367183815327567,0.07545077188064821,390
HOG+Ridge,brightness,1.0,0.056436279257828605,0.05032359980941362,390
Cascaded,brightness,1.0,0.05101478711664645,0.044228874084689444,390
CNN-noaug,brightness,1.0,0.07581456896520096,0.06877119690367811,390
CNN-aug,brightness,1.0,0.08322458465907903,0.078108058523661,390
HOG+Ridge,brightness,1.25,0.05700882932215177,0.051097440277185935,390
Cascaded,brightness,1.25,0.05194820990425242,0.04506689307778994,390
CNN-noaug,brightness,1.25,0.07740704184474527,0.0706950639732976,390
CNN-aug,brightness,1.25,0.08312057854045994,0.0786833423278003,390
HOG+Ridge,brightness,1.5,0.05958391773808326,0.054492258933265626,390
Cascaded,brightness,1.5,0.05668308466368503,0.05123852713726133,390
CNN-noaug,brightness,1.5,0.07911933358960911,0.07373029261528344,390
CNN-aug,brightness,1.5,0.0839114911384855,0.07918373387267519,390
HOG+Ridge,scale,0.7,0.19225409598143212,0.18219475970128238,390
Cascaded,scale,0.7,0.1807326819284483,0.16622008777700148,390
CNN-noaug,scale,0.7,0.2230764802565468,0.2122775870974828,390
CNN-aug,scale,0.7,0.1701945028420357,0.16091466963920992,390
HOG+Ridge,scale,0.85,0.09479658570102541,0.0848792602818492,390
Cascaded,scale,0.85,0.07782897468018028,0.06936075277989176,390
CNN-noaug,scale,0.85,0.11889141563532046,0.11145559683988077,390
CNN-aug,scale,0.85,0.10316195940253127,0.09714616784430821,390
HOG+Ridge,scale,1.0,0.056436279257828605,0.05032359980941362,390
Cascaded,scale,1.0,0.05101478711664645,0.044228874084689444,390
CNN-noaug,scale,1.0,0.07581456896520096,0.06877119690367811,390
CNN-aug,scale,1.0,0.08322458465907903,0.078108058523661,390
HOG+Ridge,scale,1.15,0.0712309088663508,0.06577553336771272,390
Cascaded,scale,1.15,0.06360791786010087,0.056270905301313894,390
CNN-noaug,scale,1.15,0.09720393903334225,0.09364093552958477,390
CNN-aug,scale,1.15,0.08364199371679629,0.07907071938178267,390
HOG+Ridge,scale,1.3,0.10534737298340673,0.09970368808946176,390
Cascaded,scale,1.3,0.09607199370309252,0.08873603210365438,390
CNN-noaug,scale,1.3,0.13635824980229755,0.13211826613616978,390
CNN-aug,scale,1.3,0.10642120791760142,0.10397920050716342,390
